CASE_ENQUIRY_ID,open_dt,TARGET_DT,closed_dt,OnTime,CASE_STATUS,CLOSURE_REASON,CASE_TITLE,SUBJECT,REASON,TYPE,QUEUE,Department,SubmittedPhoto,ClosedPhoto,Location,Fire_district,pwd_district,city_council_district,police_district,neighborhood,neighborhood_services_district,ward,precinct,land_usage,LOCATION_STREET_NAME,LOCATION_ZIPCODE,propType,propid,Latitude,Longitude,Source,Geocoded_Location
1.01E+11,11/1/2018 11:30,11/1/2019 11:30, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,31 Circuit St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 12,1201,CD,31 Circuit St,2119,Address,32824,42.3237,-71.0857,Employee Generated,"(42.3237, -71.0857)"
1.01E+11,11/1/2018 10:20,11/1/2019 10:20, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,INTERSECTION of Hanson St & Tremont St  Boston  MA  ,4,1C,2,D4,South End,4,3,307,,INTERSECTION Hanson St & Tremont St,,Intersection,16683,42.3594,-71.0587,Employee Generated,"(0, 0)"
1.01E+11,11/1/2018 6:43,11/1/2019 6:43, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,37 Anderson St  Boston  MA  02114,3,1B,8,A1,Beacon Hill,14,Ward 5,504,A,37 Anderson St,2114,Address,178120,42.36,-71.0679,Employee Generated,"(42.36, -71.0679)"
1.01E+11,11/1/2018 6:42,11/1/2019 6:42, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,INTERSECTION of Public Alley No. 303 & Pinckney St  Boston  MA  ,3,1B,7,A1,Beacon Hill,14,5,503,,INTERSECTION Public Alley No. 303 & Pinckney St,,Intersection,14171,42.3594,-71.0587,Employee Generated,"(0, 0)"
1.01E+11,11/1/2018 6:12,11/1/2019 6:12, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,INTERSECTION of Cerdan Ave & Peak Hill Rd  Roslindale  MA  ,9,6,6,E5,West Roxbury,12,20,2006,,INTERSECTION Cerdan Ave & Peak Hill Rd,,Intersection,9698,42.3594,-71.0587,City Worker App,"(0, 0)"
1.01E+11,10/30/2018 6:48,10/30/2019 6:48, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,INTERSECTION of New Hope Way & Worcester St  Roxbury  MA  ,4,1C,9,D4,South End,6,9,902,,INTERSECTION New Hope Way & Worcester St,,Intersection,14033,42.3594,-71.0587,Employee Generated,"(0, 0)"
1.01E+11,10/30/2018 6:46,10/30/2019 6:46, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,17 Melrose St  Boston  MA  02116,4,1C,2,A1,Back Bay,6,Ward 5,501,R3,17 Melrose St,2116,Address,93942,42.3492,-71.0677,Employee Generated,"(42.3492, -71.0677)"
1.01E+11,10/29/2018 14:08,10/29/2019 14:08, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,131 Pembroke St  Roxbury  MA  02118,4,1C,2,D4,South End,6,Ward 4,403,CM,131 Pembroke St,2118,Address,109050,42.3431,-71.0771,Employee Generated,"(42.3431, -71.0771)"
1.01E+11,10/29/2018 12:22,10/29/2019 12:22, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,525 Massachusetts Ave  Roxbury  MA  02118,7,10B,7,D4,Roxbury,13,Ward 9,903,A,525 Massachusetts Ave,2118,Address,92307,42.3387,-71.08,Employee Generated,"(42.3387, -71.08)"
1.01E+11,11/1/2018 11:30,11/1/2019 11:30, ,ONTIME,Open,,Sidewalk Repair,Public Works Department,Highway Maintenance,Sidewalk Repair,PWDx_Highway Construction,PWDx,NULL,NULL,31 Circuit St  Roxbury  MA  02119,7,10B,7,B2,Roxbury,13,Ward 12,1201,CD,31 Circuit St,2119,Address,32824,42.3237,-71.0857,Employee Generated,"(42.3237, -71.0857)"
